Current_State,Action,New_State,Reward,Terminated
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[65, 149, 76, 47, 72, 148, 65, 48]",0.0505,False
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[65, 149, 76, 47, 72, 148, 65, 48]",0.1015,False
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[64, 149, 76, 47, 72, 148, 65, 48]",0.153,False
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[64, 149, 76, 47, 72, 148, 65, 48]",0.20500000000000002,False
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[64, 149, 76, 47, 72, 148, 65, 48]",0.2575,False
"[63, 149, 74, 46, 71, 148, 64, 47]",UP,"[64, 149, 76, 47, 72, 148, 65, 48]",0.31050000000000005,False
"[63, 149, 74, 46, 71, 148, 64, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.737,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.785,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.8335,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.8825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
"[63, 149, 74, 46, 71, 148, 65, 47]",IDLE,"[64, 149, 76, 47, 72, 148, 65, 48]",-9.9825,False
