Current_State,Action,New_State,Reward,Terminated
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",IDLE,"[77, 148, 60, 46, 61, 148, 71, 46]",-10.0,False
"[76, 148, 59, 45, 60, 148, 69, 45]",UP,"[77, 148, 60, 46, 61, 148, 71, 46]",0.0505,False
"[76, 148, 59, 45, 60, 148, 69, 45]",UP,"[77, 148, 60, 46, 61, 148, 71, 46]",0.1015,False
"[75, 148, 59, 45, 60, 148, 69, 46]",UP,"[76, 148, 60, 46, 61, 148, 71, 47]",0.153,False
"[75, 148, 59, 45, 60, 148, 69, 46]",UP,"[76, 148, 60, 46, 61, 148, 71, 47]",0.20500000000000002,False
"[75, 149, 59, 45, 60, 148, 69, 46]",UP,"[76, 149, 60, 46, 61, 148, 71, 47]",0.2575,False
"[75, 149, 59, 45, 60, 148, 69, 46]",UP,"[76, 149, 60, 46, 61, 148, 71, 47]",0.31050000000000005,False
"[75, 149, 59, 45, 60, 148, 71, 46]",UP,"[76, 149, 60, 46, 61, 148, 72, 47]",0.36400000000000005,False
"[74, 149, 59, 45, 60, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",0.41800000000000004,False
"[74, 149, 59, 45, 60, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",0.4725,False
"[74, 149, 60, 45, 60, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",0.5275,False
"[74, 149, 60, 45, 60, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",0.583,False
"[74, 149, 60, 45, 60, 148, 70, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",0.6389999999999999,False
"[74, 149, 60, 45, 59, 149, 70, 46]",UP,"[75, 149, 61, 46, 61, 149, 72, 47]",0.6954999999999999,False
"[74, 149, 59, 45, 59, 149, 70, 46]",UP,"[75, 149, 61, 46, 60, 149, 72, 47]",0.7525,False
"[74, 149, 59, 45, 59, 149, 70, 46]",UP,"[75, 149, 61, 46, 60, 149, 72, 47]",0.81,False
"[74, 149, 59, 45, 59, 148, 70, 46]",UP,"[75, 149, 61, 46, 60, 148, 72, 47]",0.868,False
"[74, 149, 59, 45, 60, 148, 71, 46]",UP,"[75, 149, 61, 46, 61, 148, 72, 47]",0.9265000000000001,False
"[74, 149, 59, 45, 60, 148, 71, 46]",UP,"[75, 149, 61, 46, 61, 148, 72, 47]",0.9855000000000002,False
"[75, 148, 60, 45, 60, 148, 71, 46]",UP,"[75, 148, 61, 46, 61, 148, 71, 47]",1.0450000000000002,False
"[75, 149, 58, 45, 60, 148, 70, 46]",UP,"[75, 149, 60, 46, 61, 148, 71, 47]",1.1050000000000002,False
"[75, 149, 58, 45, 60, 148, 70, 46]",UP,"[76, 149, 60, 46, 61, 148, 71, 47]",1.1655000000000002,False
"[74, 149, 58, 45, 60, 148, 70, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",1.2265000000000004,False
"[74, 149, 58, 45, 60, 148, 70, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 46]",1.2880000000000003,False
"[74, 149, 59, 45, 60, 149, 70, 46]",UP,"[75, 149, 60, 46, 61, 149, 72, 47]",1.3500000000000003,False
"[73, 149, 59, 45, 60, 148, 70, 46]",UP,"[74, 149, 60, 46, 60, 148, 71, 46]",1.4125000000000003,False
"[73, 149, 59, 45, 60, 148, 70, 46]",UP,"[74, 149, 60, 46, 62, 148, 71, 46]",1.4755000000000003,False
"[73, 149, 59, 45, 60, 148, 70, 46]",UP,"[74, 149, 60, 46, 61, 148, 71, 46]",1.5390000000000004,False
"[73, 149, 59, 45, 60, 148, 70, 46]",UP,"[74, 149, 60, 46, 61, 148, 71, 46]",1.6030000000000004,False
"[74, 149, 59, 45, 60, 148, 70, 46]",UP,"[74, 149, 60, 46, 61, 148, 71, 47]",1.6675000000000004,False
"[74, 149, 59, 45, 59, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",1.7325000000000004,False
"[74, 149, 59, 45, 59, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",1.7980000000000005,False
"[74, 149, 59, 45, 59, 148, 71, 46]",UP,"[75, 149, 60, 46, 61, 148, 72, 47]",1.8640000000000005,False
"[74, 149, 59, 45, 59, 148, 71, 46]",UP,"[75, 149, 60, 46, 60, 148, 72, 47]",1.9305000000000008,False
"[74, 148, 59, 45, 59, 148, 71, 46]",UP,"[76, 148, 60, 46, 60, 148, 72, 47]",1.9975000000000007,False
"[74, 148, 59, 45, 59, 148, 71, 46]",UP,"[76, 148, 60, 46, 60, 148, 72, 47]",2.065000000000001,False
"[75, 149, 59, 45, 59, 148, 71, 46]",UP,"[76, 149, 60, 46, 60, 148, 72, 47]",2.133000000000001,False
"[74, 149, 60, 45, 59, 148, 71, 46]",UP,"[75, 149, 60, 46, 60, 148, 72, 47]",2.2015000000000007,False
"[74, 149, 59, 45, 59, 149, 70, 46]",UP,"[75, 149, 61, 46, 61, 149, 72, 47]",2.270500000000001,False
"[74, 149, 59, 45, 59, 148, 71, 46]",UP,"[75, 149, 61, 46, 60, 148, 72, 47]",2.3400000000000007,False
"[75, 148, 59, 45, 60, 148, 71, 46]",UP,"[75, 148, 61, 46, 61, 148, 71, 47]",2.410000000000001,False
"[75, 149, 60, 44, 60, 148, 70, 46]",UP,"[76, 149, 60, 45, 61, 148, 71, 47]",2.4805000000000015,False
"[74, 149, 60, 45, 60, 148, 70, 46]",UP,"[75, 149, 61, 45, 61, 148, 72, 47]",2.551500000000001,False
"[74, 149, 59, 45, 59, 149, 70, 47]",UP,"[75, 149, 60, 45, 60, 149, 72, 48]",2.6230000000000016,False
"[73, 149, 60, 45, 59, 148, 70, 47]",UP,"[74, 149, 60, 46, 60, 148, 71, 48]",2.695000000000001,False
"[74, 149, 60, 45, 59, 148, 70, 47]",UP,"[74, 149, 61, 46, 60, 148, 71, 48]",2.7675000000000014,False
"[74, 149, 59, 45, 59, 148, 71, 47]",UP,"[75, 149, 60, 46, 60, 148, 72, 48]",2.8405000000000014,False
"[73, 149, 60, 45, 58, 148, 71, 46]",UP,"[74, 149, 61, 46, 59, 148, 72, 48]",2.9140000000000015,False
"[73, 149, 59, 45, 59, 148, 71, 46]",UP,"[74, 149, 60, 46, 60, 148, 72, 48]",2.9880000000000013,False
"[73, 148, 59, 45, 59, 148, 71, 46]",UP,"[74, 148, 60, 46, 60, 148, 72, 47]",3.0625000000000018,False
"[73, 148, 59, 45, 59, 148, 71, 46]",UP,"[74, 148, 60, 46, 60, 148, 72, 47]",3.137500000000001,False
"[73, 149, 59, 45, 59, 148, 71, 47]",UP,"[74, 149, 60, 46, 60, 148, 72, 48]",3.2130000000000014,False
"[72, 149, 59, 45, 59, 149, 70, 47]",UP,"[73, 149, 61, 46, 61, 149, 72, 48]",3.2890000000000015,False
"[72, 149, 59, 45, 59, 148, 71, 47]",UP,"[73, 149, 61, 46, 60, 148, 72, 48]",3.3655000000000017,False
"[72, 149, 60, 45, 60, 148, 71, 47]",UP,"[73, 149, 60, 46, 61, 148, 71, 48]",3.4425000000000017,False
"[73, 149, 60, 44, 60, 148, 70, 47]",UP,"[74, 149, 61, 45, 61, 148, 72, 48]",3.520000000000002,False
"[72, 149, 59, 44, 59, 148, 70, 47]",UP,"[73, 149, 61, 46, 60, 148, 71, 48]",3.598000000000002,False
"[72, 148, 60, 44, 59, 148, 70, 47]",UP,"[73, 148, 60, 46, 60, 148, 71, 48]",3.6765000000000017,False
