Current_State,Action,New_State,Reward,Terminated
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",IDLE,"[57, 149, 69, 43, 64, 149, 58, 44]",-10.0,False
"[56, 149, 68, 42, 63, 149, 57, 43]",UP,"[57, 149, 69, 43, 64, 149, 58, 44]",0.0505,False
"[56, 149, 68, 42, 63, 149, 57, 43]",UP,"[57, 149, 69, 43, 64, 149, 58, 44]",0.1015,False
"[56, 149, 68, 42, 63, 149, 57, 43]",UP,"[57, 149, 69, 43, 64, 149, 58, 44]",0.153,False
"[56, 149, 68, 42, 63, 149, 57, 43]",UP,"[57, 149, 69, 43, 64, 149, 58, 44]",0.20500000000000002,False
"[56, 149, 68, 42, 63, 149, 57, 43]",UP,"[57, 149, 69, 43, 64, 149, 58, 44]",0.2575,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.31050000000000005,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.36400000000000005,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.41800000000000004,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.4725,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.5275,False
"[56, 149, 68, 42, 63, 148, 57, 43]",UP,"[57, 149, 69, 43, 64, 148, 58, 44]",0.583,False
