Current_State,Action,New_State,Reward,Terminated
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",IDLE,"[88, 149, 63, 47, 63, 148, 74, 49]",-10.0,False
"[86, 149, 62, 46, 63, 148, 73, 48]",UP,"[88, 149, 63, 47, 63, 148, 74, 49]",0.0505,False
"[86, 149, 62, 46, 63, 148, 73, 48]",UP,"[88, 149, 63, 47, 63, 148, 74, 49]",0.1015,False
"[86, 149, 62, 46, 63, 148, 73, 48]",UP,"[88, 149, 62, 47, 63, 148, 74, 49]",0.153,False
