Current_State,Action,New_State,Reward,Terminated
"[149, 128, 123, 97, 148, 148, 77, 48]",UP,"[149, 137, 124, 98, 148, 148, 78, 49]",-8.399049999999999,False
"[149, 128, 123, 97, 148, 148, 77, 48]",UP,"[149, 137, 124, 98, 148, 148, 78, 49]",-8.38305,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.39755,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
"[149, 128, 123, 97, 148, 148, 77, 48]",IDLE,"[149, 137, 124, 98, 148, 148, 78, 49]",-18.41255,False
