Current_State,Action,New_State,Reward,Terminated
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
"[62, 149, 58, 42, 60, 148, 61, 44]",IDLE,"[63, 149, 60, 43, 61, 148, 62, 45]",-10.0,False
