Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
44,94,149,51,69,148,51,8.0,0.1600000000000002
44,95,149,51,69,148,50,1.0,1.786765180256111e-16
44,95,149,51,69,148,50,8.0,1.786765180256111e-16
45,96,149,51,69,148,50,4.0,0.0550000000000001
44,91,149,48,57,148,64,8.0,0.3500000000000004
46,96,149,48,56,148,64,3.0,0.1600000000000002
51,117,149,44,52,148,67,3.0,0.4900000000000005
59,142,67,41,50,148,69,8.0,0.1950000000000002
66,150,54,36,49,148,69,3.0,0.3700000000000004
68,149,52,35,138,148,66,8.0,0.3900000000000004
71,150,50,35,128,136,65,1.0,1.786765180256111e-16
67,150,52,36,122,129,67,8.0,0.2900000000000003
68,149,52,37,116,121,66,1.0,1.786765180256111e-16
66,149,55,37,113,118,68,4.0,0.1900000000000002
66,149,56,145,98,99,71,8.0,0.2800000000000003
66,149,54,136,91,91,68,4.0,0.0150000000000001
62,148,67,149,85,79,70,3.0,0.3450000000000004
68,149,61,135,72,65,62,8.0,0.0500000000000001
68,150,61,134,72,65,62,2.0,-0.0149999999999998
63,149,65,149,82,76,69,2.0,-0.3
58,138,78,149,95,90,74,1.0,-0.0499999999999997
60,139,78,149,95,90,74,1.0,2.0990154059319366e-16
59,134,78,149,94,89,75,4.0,0.1000000000000002
62,118,97,149,85,74,72,8.0,0.2300000000000003
64,123,83,149,80,69,70,2.0,-0.0299999999999998
59,110,121,148,94,82,76,2.0,-0.3
52,98,149,149,105,94,82,8.0,-0.0449999999999997
55,92,150,149,105,89,81,4.0,0.2350000000000003
64,92,149,149,96,68,73,8.0,0.2450000000000003
67,97,149,149,87,63,68,2.0,-0.0699999999999998
59,83,149,149,108,77,79,2.0,-0.3
52,73,149,46,120,87,84,3.0,0.0350000000000002
63,73,149,54,131,76,75,4.0,0.3700000000000004
78,89,149,102,117,59,59,8.0,0.1300000000000002
76,88,149,96,121,61,60,2.0,-0.1699999999999999
65,71,149,48,149,77,73,8.0,-0.1499999999999998
68,76,149,51,149,73,69,4.0,0.2500000000000003
81,86,145,64,149,64,56,8.0,0.1450000000000002
81,85,147,64,149,64,56,2.0,-0.1199999999999998
68,69,121,85,149,80,68,2.0,-0.3
61,62,106,150,149,90,75,4.0,0.0850000000000002
72,70,107,149,149,86,67,8.0,0.0600000000000002
64,61,92,150,149,96,74,4.0,0.1700000000000003
80,73,98,149,149,96,64,8.0,0.1500000000000002
79,73,97,149,149,96,65,2.0,-0.1649999999999999
74,65,88,149,149,103,70,3.0,0.0650000000000001
85,82,92,149,89,123,66,8.0,0.2950000000000004
87,87,98,149,102,118,63,2.0,-0.1649999999999999
81,75,85,149,84,123,67,4.0,-0.0249999999999997
85,82,91,149,77,131,66,8.0,0.1250000000000002
77,71,79,149,59,146,71,4.0,0.1050000000000002
84,88,87,144,50,149,72,8.0,0.1750000000000002
85,91,89,148,52,149,69,2.0,-0.0349999999999998
80,81,82,136,46,149,75,8.0,-0.1049999999999998
83,87,88,144,49,149,72,3.0,0.2700000000000003
91,114,110,33,68,149,63,8.0,0.4250000000000005
94,129,123,37,79,149,57,2.0,-0.0299999999999998
94,127,120,36,78,149,58,1.0,1.8214596497756474e-16
94,127,120,36,78,149,58,8.0,1.8214596497756474e-16
88,132,124,37,75,149,58,4.0,0.2150000000000003
78,142,130,38,67,149,59,8.0,1.786765180256111e-16
76,142,131,39,67,149,59,4.0,0.0750000000000001
72,147,133,39,62,149,62,8.0,1.786765180256111e-16
72,148,52,40,64,149,60,3.0,0.2850000000000003
67,147,54,43,68,149,56,3.0,0.6150000000000007
61,148,61,48,75,149,50,3.0,0.7
54,148,67,52,82,149,44,3.0,0.4199999999999997
47,147,71,56,83,149,41,3.0,0.7
42,148,78,58,83,149,40,3.0,0.7
41,148,76,60,80,149,39,0.0,0.4799999999999997
47,149,71,64,92,149,29,8.0,0.1449999999999994
46,148,72,64,92,149,30,2.0,-0.1900000000000007
62,148,66,61,93,149,34,2.0,-0.3
78,145,58,57,94,149,39,8.0,-0.1749999999999998
63,148,63,56,86,149,40,4.0,0.2400000000000003
46,148,72,56,74,149,46,8.0,0.1200000000000002
47,148,74,56,74,149,48,3.0,0.1950000000000002
45,148,76,55,65,146,61,3.0,0.5300000000000006
49,148,74,47,51,111,119,0.0,0.5999999999999999
65,148,59,42,54,148,76,8.0,0.2649999999999995
64,148,59,42,53,149,74,0.0,0.0049999999999994
64,148,59,42,53,149,75,0.0,0.0049999999999994
64,148,59,41,53,148,75,0.0,0.0049999999999994
65,148,59,41,52,149,75,3.0,0.2549999999999995
63,149,58,39,49,149,81,8.0,0.2799999999999996
68,148,52,35,43,148,85,0.0,0.0749999999999994
70,148,51,35,43,149,83,6.0,0.0699999999999994
71,148,49,33,43,149,82,6.0,0.0199999999999994
88,148,42,35,57,133,66,0.0,0.3049999999999996
108,117,42,37,148,115,59,8.0,0.0049999999999994
109,118,41,37,148,114,58,3.0,0.0749999999999994
97,133,45,41,135,100,53,8.0,0.2349999999999995
94,137,48,44,131,94,51,0.0,0.0049999999999994
94,136,48,44,131,92,51,8.0,0.0049999999999994
79,149,52,45,129,95,51,4.0,0.2299999999999995
69,149,56,48,115,82,47,8.0,0.1349999999999994
63,148,60,48,112,78,47,4.0,0.1699999999999994
52,148,76,149,103,67,45,3.0,0.5049999999999998
53,148,68,149,63,36,28,8.0,0.3049999999999996
55,149,71,149,51,27,21,2.0,-0.0600000000000005
55,149,69,149,72,43,31,2.0,-0.3
54,148,73,149,93,59,42,8.0,-0.1049999999999998
51,148,76,149,107,70,45,2.0,-0.3
47,148,85,48,129,88,53,2.0,-0.3
44,148,91,52,149,108,56,8.0,-0.285
43,148,93,53,149,114,56,4.0,0.1100000000000002
44,148,96,53,149,111,56,8.0,2.0643209364124002e-16
42,141,101,53,150,110,61,4.0,0.1700000000000003
47,117,109,48,145,96,62,8.0,0.2050000000000003
48,115,111,46,141,91,62,4.0,0.1300000000000002
53,100,143,42,139,81,61,8.0,0.1950000000000002
55,105,133,40,132,77,57,3.0,0.0850000000000001
58,113,115,98,117,68,54,8.0,0.0350000000000001
57,111,120,79,120,70,55,2.0,-0.1399999999999998
51,98,145,42,140,83,62,8.0,-0.0849999999999998
51,98,146,42,141,83,61,3.0,0.0400000000000002
54,87,148,40,150,77,59,1.0,0.3000000000000004
59,93,149,52,150,71,55,8.0,1.786765180256111e-16
57,90,149,44,150,74,56,2.0,-0.1699999999999999
54,84,148,40,149,79,59,8.0,1.8214596497756474e-16
57,82,148,41,149,76,56,4.0,0.3050000000000004
63,93,148,55,149,66,48,8.0,0.0700000000000001
61,88,148,50,149,70,50,2.0,-0.2149999999999999
58,80,148,40,149,79,55,3.0,0.0100000000000002
